scenario_id,planner,unlock_depth,budget_slack,distractor_count,distractor_gain,chain_reliability,episodes,independent_scenarios,success_rate,mean_cost_on_success,mean_budget_used,premature_stop_rate,mean_local_gain
NM-d3-s0-n06-g100-r080,one_step_gain_cost,3,0,6,1.0,0.8,10,1,0.0,,4.0,0.0,4.0
NM-d3-s0-n06-g100-r080,project05_m2,3,0,6,1.0,0.8,10,1,0.0,,2.9,0.0,1.0
NM-d3-s0-n06-g100-r100,depth2_m2,3,0,6,1.0,1.0,10,1,0.0,,3.0,0.0,1.0
NM-d3-s0-n06-g100-r100,dp_oracle,3,0,6,1.0,1.0,10,1,1.0,4.0,4.0,0.0,0.0
NM-d3-s0-n06-g100-r100,one_step_gain_cost,3,0,6,1.0,1.0,10,1,0.0,,4.0,0.0,4.0
NM-d3-s0-n06-g100-r100,project05_m2,3,0,6,1.0,1.0,10,1,0.0,,3.0,0.0,1.0
NM-d3-s0-n06-g200-r080,depth2_m2,3,0,6,2.0,0.8,10,1,0.0,,3.0,0.0,2.4
NM-d3-s0-n06-g200-r080,dp_oracle,3,0,6,2.0,0.8,10,1,0.6,4.0,3.2,0.0,0.0
NM-d3-s0-n06-g200-r080,one_step_gain_cost,3,0,6,2.0,0.8,10,1,0.0,,4.0,0.0,8.0
NM-d3-s0-n06-g200-r080,project05_m2,3,0,6,2.0,0.8,10,1,0.0,,3.0,0.0,2.4
NM-d3-s0-n06-g200-r100,depth2_m2,3,0,6,2.0,1.0,10,1,0.0,,3.0,0.0,2.0
NM-d3-s0-n06-g200-r100,dp_oracle,3,0,6,2.0,1.0,10,1,1.0,4.0,4.0,0.0,0.0
NM-d3-s0-n06-g200-r100,one_step_gain_cost,3,0,6,2.0,1.0,10,1,0.0,,4.0,0.0,8.0
NM-d3-s0-n06-g200-r100,project05_m2,3,0,6,2.0,1.0,10,1,0.0,,3.0,0.0,2.0
NM-d3-s0-n10-g050-r080,depth2_m2,3,0,10,0.5,0.8,10,1,0.0,,2.9,0.0,0.5
NM-d3-s0-n10-g050-r080,dp_oracle,3,0,10,0.5,0.8,10,1,0.7,4.0,3.6,0.0,0.0
NM-d3-s0-n10-g050-r080,one_step_gain_cost,3,0,10,0.5,0.8,10,1,0.0,,4.0,0.0,2.0
NM-d3-s0-n10-g050-r080,project05_m2,3,0,10,0.5,0.8,10,1,0.0,,2.9,0.0,0.5
NM-d3-s0-n10-g050-r100,depth2_m2,3,0,10,0.5,1.0,10,1,0.0,,3.0,0.0,0.5
NM-d3-s0-n10-g050-r100,dp_oracle,3,0,10,0.5,1.0,10,1,1.0,4.0,4.0,0.0,0.0
NM-d3-s0-n10-g050-r100,one_step_gain_cost,3,0,10,0.5,1.0,10,1,0.0,,4.0,0.0,2.0
NM-d3-s0-n10-g050-r100,project05_m2,3,0,10,0.5,1.0,10,1,0.0,,3.0,0.0,0.5
NM-d3-s0-n10-g100-r080,depth2_m2,3,0,10,1.0,0.8,10,1,0.0,,2.7,0.0,1.0
NM-d3-s0-n10-g100-r080,dp_oracle,3,0,10,1.0,0.8,10,1,0.3,4.0,2.6,0.0,0.0
NM-d3-s0-n10-g100-r080,one_step_gain_cost,3,0,10,1.0,0.8,10,1,0.0,,4.0,0.0,4.0
NM-d3-s0-n10-g100-r080,project05_m2,3,0,10,1.0,0.8,10,1,0.0,,2.7,0.0,1.0
NM-d3-s0-n10-g100-r100,depth2_m2,3,0,10,1.0,1.0,10,1,0.0,,3.0,0.0,1.0
NM-d3-s0-n10-g100-r100,dp_oracle,3,0,10,1.0,1.0,10,1,1.0,4.0,4.0,0.0,0.0
NM-d3-s0-n10-g100-r100,one_step_gain_cost,3,0,10,1.0,1.0,10,1,0.0,,4.0,0.0,4.0
NM-d3-s0-n10-g100-r100,project05_m2,3,0,10,1.0,1.0,10,1,0.0,,3.0,0.0,1.0
NM-d3-s0-n10-g200-r080,depth2_m2,3,0,10,2.0,0.8,10,1,0.0,,3.0,0.0,2.2
NM-d3-s0-n10-g200-r080,dp_oracle,3,0,10,2.0,0.8,10,1,0.6,4.0,3.5,0.0,0.0
NM-d3-s0-n10-g200-r080,one_step_gain_cost,3,0,10,2.0,0.8,10,1,0.0,,4.0,0.0,8.0
NM-d3-s0-n10-g200-r080,project05_m2,3,0,10,2.0,0.8,10,1,0.0,,3.0,0.0,2.2
NM-d3-s0-n10-g200-r100,depth2_m2,3,0,10,2.0,1.0,10,1,0.0,,3.0,0.0,2.0
NM-d3-s0-n10-g200-r100,dp_oracle,3,0,10,2.0,1.0,10,1,1.0,4.0,4.0,0.0,0.0
NM-d3-s0-n10-g200-r100,one_step_gain_cost,3,0,10,2.0,1.0,10,1,0.0,,4.0,0.0,8.0
NM-d3-s0-n10-g200-r100,project05_m2,3,0,10,2.0,1.0,10,1,0.0,,3.0,0.0,2.0
NM-d3-s1-n01-g050-r080,depth2_m2,3,1,1,0.5,0.8,10,1,0.3,5.0,4.0,0.0,0.5
NM-d3-s1-n01-g050-r080,dp_oracle,3,1,1,0.5,0.8,10,1,0.3,4.0,3.0,0.0,0.0
NM-d3-s1-n01-g050-r080,one_step_gain_cost,3,1,1,0.5,0.8,10,1,0.0,,1.0,1.0,0.5
NM-d3-s1-n01-g050-r080,project05_m2,3,1,1,0.5,0.8,10,1,0.0,,3.0,0.6,0.5
NM-d3-s1-n01-g050-r100,depth2_m2,3,1,1,0.5,1.0,10,1,1.0,5.0,5.0,0.0,0.5
NM-d3-s1-n01-g050-r100,dp_oracle,3,1,1,0.5,1.0,10,1,1.0,4.0,4.0,0.0,0.0
NM-d3-s1-n01-g050-r100,one_step_gain_cost,3,1,1,0.5,1.0,10,1,0.0,,1.0,1.0,0.5
NM-d3-s1-n01-g050-r100,project05_m2,3,1,1,0.5,1.0,10,1,0.0,,3.0,1.0,0.5
NM-d3-s1-n01-g100-r080,depth2_m2,3,1,1,1.0,0.8,10,1,0.4,5.0,3.7,0.0,1.0
NM-d3-s1-n01-g100-r080,dp_oracle,3,1,1,1.0,0.8,10,1,0.4,4.0,2.7,0.0,0.0
NM-d3-s1-n01-g100-r080,one_step_gain_cost,3,1,1,1.0,0.8,10,1,0.0,,1.0,1.0,1.0
NM-d3-s1-n01-g100-r080,project05_m2,3,1,1,1.0,0.8,10,1,0.0,,2.7,0.6,1.0
NM-d3-s1-n01-g100-r100,depth2_m2,3,1,1,1.0,1.0,10,1,1.0,5.0,5.0,0.0,1.0
NM-d3-s1-n01-g100-r100,dp_oracle,3,1,1,1.0,1.0,10,1,1.0,4.0,4.0,0.0,0.0
NM-d3-s1-n01-g100-r100,one_step_gain_cost,3,1,1,1.0,1.0,10,1,0.0,,1.0,1.0,1.0
NM-d3-s1-n01-g100-r100,project05_m2,3,1,1,1.0,1.0,10,1,0.0,,3.0,1.0,1.0
NM-d3-s1-n01-g200-r080,depth2_m2,3,1,1,2.0,0.8,10,1,0.5,5.0,3.9,0.0,2.0
NM-d3-s1-n01-g200-r080,dp_oracle,3,1,1,2.0,0.8,10,1,0.5,4.0,2.9,0.0,0.0
NM-d3-s1-n01-g200-r080,one_step_gain_cost,3,1,1,2.0,0.8,10,1,0.0,,1.0,1.0,2.0
NM-d3-s1-n01-g200-r080,project05_m2,3,1,1,2.0,0.8,10,1,0.0,,2.7,0.6,2.0
NM-d3-s1-n01-g200-r100,depth2_m2,3,1,1,2.0,1.0,10,1,1.0,5.0,5.0,0.0,2.0
NM-d3-s1-n01-g200-r100,dp_oracle,3,1,1,2.0,1.0,10,1,1.0,4.0,4.0,0.0,0.0
NM-d3-s1-n01-g200-r100,one_step_gain_cost,3,1,1,2.0,1.0,10,1,0.0,,1.0,1.0,2.0
NM-d3-s1-n01-g200-r100,project05_m2,3,1,1,2.0,1.0,10,1,0.0,,3.0,1.0,2.0
NM-d3-s1-n03-g050-r080,depth2_m2,3,1,3,0.5,0.8,10,1,0.5,5.0,4.3,0.0,0.5
NM-d3-s1-n03-g050-r080,dp_oracle,3,1,3,0.5,0.8,10,1,0.5,4.0,3.3,0.0,0.0
NM-d3-s1-n03-g050-r080,one_step_gain_cost,3,1,3,0.5,0.8,10,1,0.0,,3.0,0.0,1.5
NM-d3-s1-n03-g050-r080,project05_m2,3,1,3,0.5,0.8,10,1,0.0,,2.8,0.8,0.5
NM-d3-s1-n03-g050-r100,depth2_m2,3,1,3,0.5,1.0,10,1,1.0,5.0,5.0,0.0,0.5
NM-d3-s1-n03-g050-r100,dp_oracle,3,1,3,0.5,1.0,10,1,1.0,4.0,4.0,0.0,0.0
NM-d3-s1-n03-g050-r100,one_step_gain_cost,3,1,3,0.5,1.0,10,1,0.0,,3.0,0.0,1.5
NM-d3-s1-n03-g050-r100,project05_m2,3,1,3,0.5,1.0,10,1,0.0,,3.0,1.0,0.5
NM-d3-s1-n03-g100-r080,depth2_m2,3,1,3,1.0,0.8,10,1,0.5,5.0,4.0,0.0,1.0
NM-d3-s1-n03-g100-r080,dp_oracle,3,1,3,1.0,0.8,10,1,0.5,4.0,3.0,0.0,0.0
NM-d3-s1-n03-g100-r080,one_step_gain_cost,3,1,3,1.0,0.8,10,1,0.0,,3.0,0.0,3.0
NM-d3-s1-n03-g100-r080,project05_m2,3,1,3,1.0,0.8,10,1,0.0,,2.7,0.7,1.0
NM-d3-s1-n03-g100-r100,depth2_m2,3,1,3,1.0,1.0,10,1,1.0,5.0,5.0,0.0,1.0
NM-d3-s1-n03-g100-r100,dp_oracle,3,1,3,1.0,1.0,10,1,1.0,4.0,4.0,0.0,0.0
NM-d3-s1-n03-g100-r100,one_step_gain_cost,3,1,3,1.0,1.0,10,1,0.0,,3.0,0.0,3.0
NM-d3-s1-n03-g100-r100,project05_m2,3,1,3,1.0,1.0,10,1,0.0,,3.0,1.0,1.0
NM-d3-s1-n03-g200-r080,depth2_m2,3,1,3,2.0,0.8,10,1,0.4,5.0,4.6,0.0,3.0
NM-d3-s1-n03-g200-r080,dp_oracle,3,1,3,2.0,0.8,10,1,0.4,4.0,3.1,0.0,0.0
NM-d3-s1-n03-g200-r080,one_step_gain_cost,3,1,3,2.0,0.8,10,1,0.0,,3.0,0.0,6.0
NM-d3-s1-n03-g200-r080,project05_m2,3,1,3,2.0,0.8,10,1,0.0,,4.0,0.0,4.4
NM-d3-s1-n03-g200-r100,depth2_m2,3,1,3,2.0,1.0,10,1,1.0,5.0,5.0,0.0,2.0
NM-d3-s1-n03-g200-r100,dp_oracle,3,1,3,2.0,1.0,10,1,1.0,4.0,4.0,0.0,0.0
NM-d3-s1-n03-g200-r100,one_step_gain_cost,3,1,3,2.0,1.0,10,1,0.0,,3.0,0.0,6.0
NM-d3-s1-n03-g200-r100,project05_m2,3,1,3,2.0,1.0,10,1,0.0,,4.0,0.0,4.0
NM-d3-s1-n06-g050-r080,depth2_m2,3,1,6,0.5,0.8,10,1,0.3,5.0,3.2,0.0,0.5
NM-d3-s1-n06-g050-r080,dp_oracle,3,1,6,0.5,0.8,10,1,0.3,4.0,2.2,0.0,0.0
NM-d3-s1-n06-g050-r080,one_step_gain_cost,3,1,6,0.5,0.8,10,1,0.0,,5.0,0.0,2.5
NM-d3-s1-n06-g050-r080,project05_m2,3,1,6,0.5,0.8,10,1,0.0,,2.5,0.4,0.5
NM-d3-s1-n06-g050-r100,depth2_m2,3,1,6,0.5,1.0,10,1,1.0,5.0,5.0,0.0,0.5
NM-d3-s1-n06-g050-r100,dp_oracle,3,1,6,0.5,1.0,10,1,1.0,4.0,4.0,0.0,0.0
NM-d3-s1-n06-g050-r100,one_step_gain_cost,3,1,6,0.5,1.0,10,1,0.0,,5.0,0.0,2.5
NM-d3-s1-n06-g050-r100,project05_m2,3,1,6,0.5,1.0,10,1,0.0,,3.0,1.0,0.5
NM-d3-s1-n06-g100-r080,depth2_m2,3,1,6,1.0,0.8,10,1,0.2,5.0,3.6,0.0,1.0
NM-d3-s1-n06-g100-r080,dp_oracle,3,1,6,1.0,0.8,10,1,0.2,4.0,2.6,0.0,0.0
NM-d3-s1-n06-g100-r080,one_step_gain_cost,3,1,6,1.0,0.8,10,1,0.0,,5.0,0.0,5.0
NM-d3-s1-n06-g100-r080,project05_m2,3,1,6,1.0,0.8,10,1,0.0,,2.8,0.5,1.0
NM-d3-s1-n06-g100-r100,depth2_m2,3,1,6,1.0,1.0,10,1,1.0,5.0,5.0,0.0,1.0
NM-d3-s1-n06-g100-r100,dp_oracle,3,1,6,1.0,1.0,10,1,1.0,4.0,4.0,0.0,0.0
NM-d3-s1-n06-g100-r100,one_step_gain_cost,3,1,6,1.0,1.0,10,1,0.0,,5.0,0.0,5.0
NM-d3-s1-n06-g100-r100,project05_m2,3,1,6,1.0,1.0,10,1,0.0,,3.0,1.0,1.0
NM-d3-s1-n06-g200-r080,depth2_m2,3,1,6,2.0,0.8,10,1,0.2,5.0,4.7,0.0,3.0
NM-d3-s1-n06-g200-r080,dp_oracle,3,1,6,2.0,0.8,10,1,0.2,4.0,3.2,0.0,0.0
NM-d3-s1-n06-g200-r080,one_step_gain_cost,3,1,6,2.0,0.8,10,1,0.0,,5.0,0.0,10.0
NM-d3-s1-n06-g200-r080,project05_m2,3,1,6,2.0,0.8,10,1,0.0,,4.0,0.0,4.4
NM-d3-s1-n06-g200-r100,depth2_m2,3,1,6,2.0,1.0,10,1,1.0,5.0,5.0,0.0,2.0
NM-d3-s1-n06-g200-r100,dp_oracle,3,1,6,2.0,1.0,10,1,1.0,4.0,4.0,0.0,0.0
NM-d3-s1-n06-g200-r100,one_step_gain_cost,3,1,6,2.0,1.0,10,1,0.0,,5.0,0.0,10.0
NM-d3-s1-n06-g200-r100,project05_m2,3,1,6,2.0,1.0,10,1,0.0,,4.0,0.0,4.0
NM-d3-s1-n10-g050-r080,depth2_m2,3,1,10,0.5,0.8,10,1,0.3,5.0,3.3,0.0,0.5
NM-d3-s1-n10-g050-r080,dp_oracle,3,1,10,0.5,0.8,10,1,0.3,4.0,2.3,0.0,0.0
NM-d3-s1-n10-g050-r080,one_step_gain_cost,3,1,10,0.5,0.8,10,1,0.0,,5.0,0.0,2.5
NM-d3-s1-n10-g050-r080,project05_m2,3,1,10,0.5,0.8,10,1,0.0,,2.5,0.5,0.5
NM-d3-s1-n10-g050-r100,depth2_m2,3,1,10,0.5,1.0,10,1,1.0,5.0,5.0,0.0,0.5
NM-d3-s1-n10-g050-r100,dp_oracle,3,1,10,0.5,1.0,10,1,1.0,4.0,4.0,0.0,0.0
NM-d3-s1-n10-g050-r100,one_step_gain_cost,3,1,10,0.5,1.0,10,1,0.0,,5.0,0.0,2.5
NM-d3-s1-n10-g050-r100,project05_m2,3,1,10,0.5,1.0,10,1,0.0,,3.0,1.0,0.5
NM-d3-s1-n10-g100-r080,depth2_m2,3,1,10,1.0,0.8,10,1,0.4,5.0,3.5,0.0,1.0
NM-d3-s1-n10-g100-r080,dp_oracle,3,1,10,1.0,0.8,10,1,0.4,4.0,2.5,0.0,0.0
NM-d3-s1-n10-g100-r080,one_step_gain_cost,3,1,10,1.0,0.8,10,1,0.0,,5.0,0.0,5.0
NM-d3-s1-n10-g100-r080,project05_m2,3,1,10,1.0,0.8,10,1,0.0,,2.7,0.4,1.0
NM-d3-s1-n10-g100-r100,depth2_m2,3,1,10,1.0,1.0,10,1,1.0,5.0,5.0,0.0,1.0
NM-d3-s1-n10-g100-r100,dp_oracle,3,1,10,1.0,1.0,10,1,1.0,4.0,4.0,0.0,0.0
NM-d3-s1-n10-g100-r100,one_step_gain_cost,3,1,10,1.0,1.0,10,1,0.0,,5.0,0.0,5.0
NM-d3-s1-n10-g100-r100,project05_m2,3,1,10,1.0,1.0,10,1,0.0,,3.0,1.0,1.0
NM-d3-s1-n10-g200-r080,depth2_m2,3,1,10,2.0,0.8,10,1,0.2,5.0,4.2,0.0,3.8
NM-d3-s1-n10-g200-r080,dp_oracle,3,1,10,2.0,0.8,10,1,0.2,4.0,2.3,0.0,0.0
NM-d3-s1-n10-g200-r080,one_step_gain_cost,3,1,10,2.0,0.8,10,1,0.0,,5.0,0.0,10.0
NM-d3-s1-n10-g200-r080,project05_m2,3,1,10,2.0,0.8,10,1,0.0,,4.0,0.0,4.6
NM-d3-s1-n10-g200-r100,depth2_m2,3,1,10,2.0,1.0,10,1,1.0,5.0,5.0,0.0,2.0
NM-d3-s1-n10-g200-r100,dp_oracle,3,1,10,2.0,1.0,10,1,1.0,4.0,4.0,0.0,0.0
NM-d3-s1-n10-g200-r100,one_step_gain_cost,3,1,10,2.0,1.0,10,1,0.0,,5.0,0.0,10.0
NM-d3-s1-n10-g200-r100,project05_m2,3,1,10,2.0,1.0,10,1,0.0,,4.0,0.0,4.0
NM-d4-s0-n01-g050-r080,depth2_m2,4,0,1,0.5,0.8,10,1,0.0,,3.0,0.0,0.5
NM-d4-s0-n01-g050-r080,dp_oracle,4,0,1,0.5,0.8,10,1,0.4,5.0,4.1,0.0,0.0
NM-d4-s0-n01-g050-r080,one_step_gain_cost,4,0,1,0.5,0.8,10,1,0.0,,1.0,0.0,0.5
NM-d4-s0-n01-g050-r080,project05_m2,4,0,1,0.5,0.8,10,1,0.0,,3.0,0.0,0.5
NM-d4-s0-n01-g050-r100,depth2_m2,4,0,1,0.5,1.0,10,1,0.0,,3.0,0.0,0.5
NM-d4-s0-n01-g050-r100,dp_oracle,4,0,1,0.5,1.0,10,1,1.0,5.0,5.0,0.0,0.0
NM-d4-s0-n01-g050-r100,one_step_gain_cost,4,0,1,0.5,1.0,10,1,0.0,,1.0,0.0,0.5
NM-d4-s0-n01-g050-r100,project05_m2,4,0,1,0.5,1.0,10,1,0.0,,3.0,0.0,0.5
NM-d4-s0-n01-g100-r080,depth2_m2,4,0,1,1.0,0.8,10,1,0.0,,2.8,0.0,1.0
NM-d4-s0-n01-g100-r080,dp_oracle,4,0,1,1.0,0.8,10,1,0.3,5.0,3.2,0.0,0.0
NM-d4-s0-n01-g100-r080,one_step_gain_cost,4,0,1,1.0,0.8,10,1,0.0,,1.0,0.0,1.0
NM-d4-s0-n01-g100-r080,project05_m2,4,0,1,1.0,0.8,10,1,0.0,,2.8,0.0,1.0
NM-d4-s0-n01-g100-r100,depth2_m2,4,0,1,1.0,1.0,10,1,0.0,,3.0,0.0,1.0
NM-d4-s0-n01-g100-r100,dp_oracle,4,0,1,1.0,1.0,10,1,1.0,5.0,5.0,0.0,0.0
NM-d4-s0-n01-g100-r100,one_step_gain_cost,4,0,1,1.0,1.0,10,1,0.0,,1.0,0.0,1.0
NM-d4-s0-n01-g100-r100,project05_m2,4,0,1,1.0,1.0,10,1,0.0,,3.0,0.0,1.0
NM-d4-s0-n01-g200-r080,depth2_m2,4,0,1,2.0,0.8,10,1,0.0,,2.9,0.0,2.0
NM-d4-s0-n01-g200-r080,dp_oracle,4,0,1,2.0,0.8,10,1,0.4,5.0,4.1,0.0,0.0
NM-d4-s0-n01-g200-r080,one_step_gain_cost,4,0,1,2.0,0.8,10,1,0.0,,1.0,0.0,2.0
NM-d4-s0-n01-g200-r080,project05_m2,4,0,1,2.0,0.8,10,1,0.0,,2.9,0.0,2.0
NM-d4-s0-n01-g200-r100,depth2_m2,4,0,1,2.0,1.0,10,1,0.0,,3.0,0.0,2.0
NM-d4-s0-n01-g200-r100,dp_oracle,4,0,1,2.0,1.0,10,1,1.0,5.0,5.0,0.0,0.0
NM-d4-s0-n01-g200-r100,one_step_gain_cost,4,0,1,2.0,1.0,10,1,0.0,,1.0,0.0,2.0
NM-d4-s0-n01-g200-r100,project05_m2,4,0,1,2.0,1.0,10,1,0.0,,3.0,0.0,2.0
NM-d4-s0-n03-g050-r080,depth2_m2,4,0,3,0.5,0.8,10,1,0.0,,2.9,0.0,0.5
NM-d4-s0-n03-g050-r080,dp_oracle,4,0,3,0.5,0.8,10,1,0.2,5.0,3.8,0.0,0.0
NM-d4-s0-n03-g050-r080,one_step_gain_cost,4,0,3,0.5,0.8,10,1,0.0,,3.0,0.0,1.5
NM-d4-s0-n03-g050-r080,project05_m2,4,0,3,0.5,0.8,10,1,0.0,,2.9,0.0,0.5
NM-d4-s0-n03-g050-r100,depth2_m2,4,0,3,0.5,1.0,10,1,0.0,,3.0,0.0,0.5
NM-d4-s0-n03-g050-r100,dp_oracle,4,0,3,0.5,1.0,10,1,1.0,5.0,5.0,0.0,0.0
NM-d4-s0-n03-g050-r100,one_step_gain_cost,4,0,3,0.5,1.0,10,1,0.0,,3.0,0.0,1.5
NM-d4-s0-n03-g050-r100,project05_m2,4,0,3,0.5,1.0,10,1,0.0,,3.0,0.0,0.5
NM-d4-s0-n03-g100-r080,depth2_m2,4,0,3,1.0,0.8,10,1,0.0,,2.9,0.0,1.0
NM-d4-s0-n03-g100-r080,dp_oracle,4,0,3,1.0,0.8,10,1,0.5,5.0,3.8,0.0,0.0
NM-d4-s0-n03-g100-r080,one_step_gain_cost,4,0,3,1.0,0.8,10,1,0.0,,3.0,0.0,3.0
NM-d4-s0-n03-g100-r080,project05_m2,4,0,3,1.0,0.8,10,1,0.0,,2.9,0.0,1.0
NM-d4-s0-n03-g100-r100,depth2_m2,4,0,3,1.0,1.0,10,1,0.0,,3.0,0.0,1.0
NM-d4-s0-n03-g100-r100,dp_oracle,4,0,3,1.0,1.0,10,1,1.0,5.0,5.0,0.0,0.0
NM-d4-s0-n03-g100-r100,one_step_gain_cost,4,0,3,1.0,1.0,10,1,0.0,,3.0,0.0,3.0
NM-d4-s0-n03-g100-r100,project05_m2,4,0,3,1.0,1.0,10,1,0.0,,3.0,0.0,1.0
NM-d4-s0-n03-g200-r080,depth2_m2,4,0,3,2.0,0.8,10,1,0.0,,4.0,0.0,4.8
NM-d4-s0-n03-g200-r080,dp_oracle,4,0,3,2.0,0.8,10,1,0.2,5.0,2.8,0.0,0.0
NM-d4-s0-n03-g200-r080,one_step_gain_cost,4,0,3,2.0,0.8,10,1,0.0,,3.0,0.0,6.0
NM-d4-s0-n03-g200-r080,project05_m2,4,0,3,2.0,0.8,10,1,0.0,,4.0,0.0,4.8
NM-d4-s0-n03-g200-r100,depth2_m2,4,0,3,2.0,1.0,10,1,0.0,,4.0,0.0,4.0
NM-d4-s0-n03-g200-r100,dp_oracle,4,0,3,2.0,1.0,10,1,1.0,5.0,5.0,0.0,0.0
NM-d4-s0-n03-g200-r100,one_step_gain_cost,4,0,3,2.0,1.0,10,1,0.0,,3.0,0.0,6.0
NM-d4-s0-n03-g200-r100,project05_m2,4,0,3,2.0,1.0,10,1,0.0,,4.0,0.0,4.0
NM-d4-s0-n06-g050-r080,depth2_m2,4,0,6,0.5,0.8,10,1,0.0,,2.9,0.0,0.5
NM-d4-s0-n06-g050-r080,dp_oracle,4,0,6,0.5,0.8,10,1,0.3,5.0,3.9,0.0,0.0
NM-d4-s0-n06-g050-r080,one_step_gain_cost,4,0,6,0.5,0.8,10,1,0.0,,5.0,0.0,2.5
NM-d4-s0-n06-g050-r080,project05_m2,4,0,6,0.5,0.8,10,1,0.0,,2.9,0.0,0.5
NM-d4-s0-n06-g050-r100,depth2_m2,4,0,6,0.5,1.0,10,1,0.0,,3.0,0.0,0.5
NM-d4-s0-n06-g050-r100,dp_oracle,4,0,6,0.5,1.0,10,1,1.0,5.0,5.0,0.0,0.0
NM-d4-s0-n06-g050-r100,one_step_gain_cost,4,0,6,0.5,1.0,10,1,0.0,,5.0,0.0,2.5
NM-d4-s0-n06-g050-r100,project05_m2,4,0,6,0.5,1.0,10,1,0.0,,3.0,0.0,0.5
NM-d4-s0-n06-g100-r080,depth2_m2,4,0,6,1.0,0.8,10,1,0.0,,2.9,0.0,1.0
NM-d4-s0-n06-g100-r080,dp_oracle,4,0,6,1.0,0.8,10,1,0.4,5.0,3.7,0.0,0.0
NM-d4-s0-n06-g100-r080,one_step_gain_cost,4,0,6,1.0,0.8,10,1,0.0,,5.0,0.0,5.0
NM-d4-s0-n06-g100-r080,project05_m2,4,0,6,1.0,0.8,10,1,0.0,,2.9,0.0,1.0
NM-d4-s0-n06-g100-r100,depth2_m2,4,0,6,1.0,1.0,10,1,0.0,,3.0,0.0,1.0
NM-d4-s0-n06-g100-r100,dp_oracle,4,0,6,1.0,1.0,10,1,1.0,5.0,5.0,0.0,0.0
NM-d4-s0-n06-g100-r100,one_step_gain_cost,4,0,6,1.0,1.0,10,1,0.0,,5.0,0.0,5.0
NM-d4-s0-n06-g100-r100,project05_m2,4,0,6,1.0,1.0,10,1,0.0,,3.0,0.0,1.0
NM-d4-s0-n06-g200-r080,depth2_m2,4,0,6,2.0,0.8,10,1,0.0,,4.0,0.0,4.4
NM-d4-s0-n06-g200-r080,dp_oracle,4,0,6,2.0,0.8,10,1,0.3,5.0,3.3,0.0,0.0
NM-d4-s0-n06-g200-r080,one_step_gain_cost,4,0,6,2.0,0.8,10,1,0.0,,5.0,0.0,10.0
NM-d4-s0-n06-g200-r080,project05_m2,4,0,6,2.0,0.8,10,1,0.0,,4.0,0.0,4.4
NM-d4-s0-n06-g200-r100,depth2_m2,4,0,6,2.0,1.0,10,1,0.0,,4.0,0.0,4.0
NM-d4-s0-n06-g200-r100,dp_oracle,4,0,6,2.0,1.0,10,1,1.0,5.0,5.0,0.0,0.0
NM-d4-s0-n06-g200-r100,one_step_gain_cost,4,0,6,2.0,1.0,10,1,0.0,,5.0,0.0,10.0
NM-d4-s0-n06-g200-r100,project05_m2,4,0,6,2.0,1.0,10,1,0.0,,4.0,0.0,4.0
NM-d4-s0-n10-g050-r080,depth2_m2,4,0,10,0.5,0.8,10,1,0.0,,2.8,0.0,0.5
NM-d4-s0-n10-g050-r080,dp_oracle,4,0,10,0.5,0.8,10,1,0.2,5.0,2.8,0.0,0.0
NM-d4-s0-n10-g050-r080,one_step_gain_cost,4,0,10,0.5,0.8,10,1,0.0,,5.0,0.0,2.5
NM-d4-s0-n10-g050-r080,project05_m2,4,0,10,0.5,0.8,10,1,0.0,,2.8,0.0,0.5
NM-d4-s0-n10-g050-r100,depth2_m2,4,0,10,0.5,1.0,10,1,0.0,,3.0,0.0,0.5
NM-d4-s0-n10-g050-r100,dp_oracle,4,0,10,0.5,1.0,10,1,1.0,5.0,5.0,0.0,0.0
NM-d4-s0-n10-g050-r100,one_step_gain_cost,4,0,10,0.5,1.0,10,1,0.0,,5.0,0.0,2.5
NM-d4-s0-n10-g050-r100,project05_m2,4,0,10,0.5,1.0,10,1,0.0,,3.0,0.0,0.5
NM-d4-s0-n10-g100-r080,depth2_m2,4,0,10,1.0,0.8,10,1,0.0,,2.9,0.0,1.0
NM-d4-s0-n10-g100-r080,dp_oracle,4,0,10,1.0,0.8,10,1,0.4,5.0,3.9,0.0,0.0
NM-d4-s0-n10-g100-r080,one_step_gain_cost,4,0,10,1.0,0.8,10,1,0.0,,5.0,0.0,5.0
NM-d4-s0-n10-g100-r080,project05_m2,4,0,10,1.0,0.8,10,1,0.0,,2.9,0.0,1.0
NM-d4-s0-n10-g100-r100,depth2_m2,4,0,10,1.0,1.0,10,1,0.0,,3.0,0.0,1.0
NM-d4-s0-n10-g100-r100,dp_oracle,4,0,10,1.0,1.0,10,1,1.0,5.0,5.0,0.0,0.0
NM-d4-s0-n10-g100-r100,one_step_gain_cost,4,0,10,1.0,1.0,10,1,0.0,,5.0,0.0,5.0
NM-d4-s0-n10-g100-r100,project05_m2,4,0,10,1.0,1.0,10,1,0.0,,3.0,0.0,1.0
NM-d4-s0-n10-g200-r080,depth2_m2,4,0,10,2.0,0.8,10,1,0.0,,4.0,0.0,4.2
NM-d4-s0-n10-g200-r080,dp_oracle,4,0,10,2.0,0.8,10,1,0.6,5.0,3.9,0.0,0.0
NM-d4-s0-n10-g200-r080,one_step_gain_cost,4,0,10,2.0,0.8,10,1,0.0,,5.0,0.0,10.0
